iccs,leg_stat,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_SUSP,T,P_HTHAB,RO	1.24 	1.31 	1.53 	1.67 	1.83 	2.01 	1.69 	2.04 	2.19 	2.48 
ICCS0101,PER_SUSP,T,P_HTHAB,RS	1.09 	1.81 	1.41 	1.82 	2.14 	1.57 	1.85 	1.92 	2.24 	2.21 
ICCS0101,PER_SUSP,T,P_HTHAB,SE	3.15 	3.30 	2.83 	2.65 	2.24 	2.31 	2.58 	2.66 	2.26 	2.18 
ICCS0101,PER_SUSP,T,P_HTHAB,SI	0.92 	0.63 	0.68 	1.50 	1.02 	0.88 	0.93 	0.59 	0.69 	0.55 
ICCS0101,PER_SUSP,T,P_HTHAB,SK	1.01 	0.88 	0.77 	0.94 	1.15 	1.42 	1.97 	1.43 	1.47 	1.62 
ICCS0101,PER_SUSP,T,P_HTHAB,TR	: 	: 	: 	: 	: 	5.41 	5.08 	5.17 	6.69 	: 
ICCS0101,PER_SUSP,T,P_HTHAB,XK	: 	5.98 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,AL	12 	17 	16 	13 	25 	26 	23 	19 	7 	19 
ICCS0101,PER_VICT,F,NR,AT	: 	32 	17 	23 	30 	38 	35 	33 	56 	39 
ICCS0101,PER_VICT,F,NR,BA	10 	15 	18 	11 	14 	24 	16 	10 	15 	: 
ICCS0101,PER_VICT,F,NR,BG	35 	22 	29 	26 	34 	37 	30 	27 	35 	36 
ICCS0101,PER_VICT,F,NR,CH	20 	25 	30 	24 	32 	17 	23 	26 	27 	: 
ICCS0101,PER_VICT,F,NR,CY	0 	5 	2 	5 	3 	5 	6 	1 	7 	2 
ICCS0101,PER_VICT,F,NR,CZ	30 	36 	49 	45 	51 	48 	44 	53 	38 	44 
ICCS0101,PER_VICT,F,NR,DE	380 	469 	327 	339 	328 	296 	338 	393 	386 	337 
ICCS0101,PER_VICT,F,NR,DK	20 	23 	24 	31 	13 	16 	15 	22 	: 	: 
ICCS0101,PER_VICT,F,NR,EE	8 	9 	10 	9 	18 	17 	14 	15 	: 	: 
ICCS0101,PER_VICT,F,NR,EL	23 	26 	30 	27 	50 	39 	32 	34 	25 	33 
ICCS0101,PER_VICT,F,NR,ES	113 	113 	121 	127 	121 	124 	128 	152 	132 	: 
ICCS0101,PER_VICT,F,NR,FI	31 	22 	16 	27 	24 	40 	37 	28 	34 	44 
ICCS0101,PER_VICT,F,NR,FR	601 	357 	404 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,HR	18 	20 	15 	17 	21 	18 	21 	32 	24 	24 
ICCS0101,PER_VICT,F,NR,HU	72 	82 	102 	67 	71 	58 	42 	61 	63 	70 
ICCS0101,PER_VICT,F,NR,IS	2 	1 	0 	2 	0 	1 	1 	0 	0 	: 
ICCS0101,PER_VICT,F,NR,IT	130 	151 	143 	153 	180 	150 	161 	153 	173 	147 
ICCS0101,PER_VICT,F,NR,LI	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
ICCS0101,PER_VICT,F,NR,LT	55 	46 	49 	53 	60 	53 	66 	75 	64 	81 
ICCS0101,PER_VICT,F,NR,LU	: 	: 	1 	2 	0 	0 	0 	5 	0 	: 
ICCS0101,PER_VICT,F,NR,LV	39 	34 	29 	36 	24 	37 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,ME	4 	3 	3 	4 	1 	3 	3 	7 	7 	5 
ICCS0101,PER_VICT,F,NR,MK	4 	6 	2 	10 	7 	11 	4 	15 	12 	9 
ICCS0101,PER_VICT,F,NR,MT	1 	2 	2 	1 	0 	3 	3 	1 	3 	1 
ICCS0101,PER_VICT,F,NR,NL	43 	32 	42 	30 	56 	50 	50 	54 	50 	47 
ICCS0101,PER_VICT,F,NR,NO	13 	11 	14 	13 	20 	9 	52 	15 	12 	10 
ICCS0101,PER_VICT,F,NR,PL	94 	71 	108 	91 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,RS	29 	41 	31 	38 	47 	38 	39 	42 	38 	38 
ICCS0101,PER_VICT,F,NR,SE	27 	29 	29 	25 	26 	21 	25 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,SI	9 	2 	11 	6 	3 	6 	7 	8 	7 	5 
ICCS0101,PER_VICT,F,NR,SK	19 	20 	14 	19 	23 	17 	31 	31 	32 	: 
ICCS0101,PER_VICT,F,NR,TR	: 	: 	: 	: 	: 	606 	629 	634 	1007 	: 
ICCS0101,PER_VICT,F,NR,UKC-L	227 	185 	176 	185 	182 	168 	170 	201 	193 	196 
ICCS0101,PER_VICT,F,NR,UKM	14 	16 	17 	15 	15 	12 	20 	21 	22 	33 
ICCS0101,PER_VICT,F,NR,UKN	9 	2 	4 	7 	5 	3 	4 	5 	5 	4 
ICCS0101,PER_VICT,F,NR,XK	13 	8 	10 	12 	4 	11 	9 	20 	11 	25 
ICCS0101,PER_VICT,F,P_HTHAB,AL	0.84 	1.20 	1.12 	0.91 	: 	: 	1.28 	: 	0.44 	1.20 
ICCS0101,PER_VICT,F,P_HTHAB,AT	: 	0.72 	0.39 	0.53 	0.69 	0.88 	0.81 	0.77 	1.31 	0.91 
ICCS0101,PER_VICT,F,P_HTHAB,BA	: 	: 	: 	: 	: 	1.22 	0.81 	0.51 	0.76 	: 
ICCS0101,PER_VICT,F,P_HTHAB,BG	0.96 	0.60 	0.78 	0.70 	0.91 	0.98 	0.79 	0.71 	0.91 	0.93 
ICCS0101,PER_VICT,F,P_HTHAB,CH	0.47 	0.59 	0.72 	0.58 	0.79 	0.42 	0.58 	0.66 	0.69 	: 
ICCS0101,PER_VICT,F,P_HTHAB,CY	0.00 	1.15 	0.46 	1.14 	0.67 	1.13 	1.39 	0.24 	1.72 	0.51 
ICCS0101,PER_VICT,F,P_HTHAB,CZ	0.56 	0.67 	0.91 	0.84 	0.95 	0.90 	0.82 	1.00 	0.72 	0.83 
ICCS0101,PER_VICT,F,P_HTHAB,DE	0.91 	1.13 	0.79 	0.82 	0.80 	0.72 	0.82 	0.94 	0.92 	0.80 
ICCS0101,PER_VICT,F,P_HTHAB,DK	0.69 	0.80 	0.84 	1.09 	0.46 	0.57 	0.53 	0.79 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,EE	1.15 	1.29 	1.43 	1.28 	2.56 	2.40 	1.97 	2.11 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,EL	0.41 	0.47 	0.54 	0.48 	0.89 	0.69 	0.56 	0.60 	0.44 	0.58 
ICCS0101,PER_VICT,F,P_HTHAB,ES	0.48 	0.48 	0.51 	0.54 	0.51 	0.52 	0.54 	0.65 	0.57 	: 
ICCS0101,PER_VICT,F,P_HTHAB,FI	1.11 	0.79 	0.58 	0.97 	0.87 	1.46 	1.35 	1.03 	1.25 	1.63 
ICCS0101,PER_VICT,F,P_HTHAB,FR	1.74 	1.04 	1.18 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,HR	0.84 	0.92 	0.69 	0.77 	0.95 	0.81 	0.95 	1.44 	1.07 	1.07 
ICCS0101,PER_VICT,F,P_HTHAB,HU	1.41 	1.59 	1.98 	1.29 	1.37 	1.11 	0.80 	1.16 	1.20 	1.33 
ICCS0101,PER_VICT,F,P_HTHAB,IS	1.20 	0.61 	0.00 	1.23 	0.00 	0.63 	0.63 	0.00 	0.00 	: 
ICCS0101,PER_VICT,F,P_HTHAB,IT	0.42 	0.48 	0.46 	0.49 	0.58 	0.49 	0.53 	0.50 	0.57 	0.49 
ICCS0101,PER_VICT,F,P_HTHAB,LI	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
ICCS0101,PER_VICT,F,P_HTHAB,LT	3.58 	2.95 	3.11 	3.34 	3.74 	3.27 	4.01 	4.43 	3.74 	4.70 
ICCS0101,PER_VICT,F,P_HTHAB,LU	: 	: 	0.36 	0.73 	0.00 	0.00 	0.00 	1.98 	0.00 	: 
ICCS0101,PER_VICT,F,P_HTHAB,LV	3.70 	3.19 	2.70 	3.32 	2.19 	3.33 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,ME	1.27 	0.95 	0.95 	1.27 	0.32 	0.96 	0.96 	2.23 	2.24 	1.60 
ICCS0101,PER_VICT,F,P_HTHAB,MK	0.39 	0.58 	0.19 	0.97 	0.68 	1.07 	0.39 	1.46 	1.17 	0.88 
ICCS0101,PER_VICT,F,P_HTHAB,MT	0.44 	0.89 	0.93 	0.47 	0.00 	1.43 	1.44 	0.48 	1.45 	0.49 
ICCS0101,PER_VICT,F,P_HTHAB,NL	0.50 	0.37 	0.49 	0.35 	0.66 	0.59 	0.59 	0.65 	0.60 	0.57 
ICCS0101,PER_VICT,F,P_HTHAB,NO	0.50 	0.43 	0.55 	0.51 	0.80 	0.36 	2.11 	0.62 	0.50 	0.42 
ICCS0101,PER_VICT,F,P_HTHAB,PL	0.48 	0.36 	0.55 	0.46 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,RS	0.80 	1.13 	0.85 	1.04 	1.28 	1.03 	1.05 	1.12 	1.01 	1.00 
ICCS0101,PER_VICT,F,P_HTHAB,SE	0.54 	0.59 	0.59 	0.52 	0.54 	0.44 	0.53 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,SI	0.86 	0.19 	1.06 	0.58 	0.29 	0.58 	0.68 	0.77 	0.68 	0.49 
ICCS0101,PER_VICT,F,P_HTHAB,SK	0.68 	0.72 	0.50 	0.68 	0.83 	0.61 	1.12 	1.12 	1.16 	: 
ICCS0101,PER_VICT,F,P_HTHAB,TR	: 	: 	: 	: 	: 	1.63 	1.71 	1.76 	2.83 	: 
ICCS0101,PER_VICT,F,P_HTHAB,UKC-L	0.85 	0.70 	0.67 	0.71 	0.63 	0.59 	0.60 	0.71 	0.69 	0.70 
ICCS0101,PER_VICT,F,P_HTHAB,UKM	0.50 	0.58 	0.62 	0.55 	0.55 	0.44 	0.73 	0.78 	0.82 	1.23 
ICCS0101,PER_VICT,F,P_HTHAB,UKN	0.95 	0.21 	0.43 	0.75 	0.54 	0.32 	0.43 	0.54 	0.55 	0.44 
ICCS0101,PER_VICT,F,P_HTHAB,XK	: 	0.45 	: 	: 	: 	: 	1.01 	1.83 	1.02 	2.35 
ICCS0101,PER_VICT,M,NR,AL	56 	82 	66 	104 	104 	131 	124 	108 	78 	74 
ICCS0101,PER_VICT,M,NR,AT	: 	25 	29 	22 	32 	42 	42 	28 	101 	85 
ICCS0101,PER_VICT,M,NR,BA	32 	30 	39 	39 	32 	39 	35 	46 	56 	: 
ICCS0101,PER_VICT,M,NR,BG	68 	57 	97 	86 	75 	104 	98 	121 	115 	136 
ICCS0101,PER_VICT,M,NR,CH	25 	20 	27 	17 	25 	28 	23 	26 	24 	: 
ICCS0101,PER_VICT,M,NR,CY	7 	8 	13 	6 	9 	17 	3 	7 	12 	7 
ICCS0101,PER_VICT,M,NR,CZ	36 	29 	39 	36 	39 	57 	42 	50 	56 	70 
ICCS0101,PER_VICT,M,NR,DE	433 	494 	355 	377 	354 	363 	400 	400 	417 	385 
ICCS0101,PER_VICT,M,NR,DK	51 	33 	38 	43 	35 	31 	31 	20 	: 	: 
ICCS0101,PER_VICT,M,NR,EE	21 	24 	35 	33 	34 	46 	51 	49 	: 	: 
ICCS0101,PER_VICT,M,NR,EL	59 	58 	63 	80 	103 	127 	152 	142 	127 	111 
ICCS0101,PER_VICT,M,NR,ES	194 	181 	181 	196 	180 	238 	258 	238 	267 	: 
ICCS0101,PER_VICT,M,NR,FI	38 	52 	66 	61 	65 	48 	73 	91 	86 	89 
ICCS0101,PER_VICT,M,NR,FR	315 	657 	744 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,HR	28 	24 	22 	19 	25 	33 	28 	30 	25 	47 
ICCS0101,PER_VICT,M,NR,HU	170 	120 	119 	79 	83 	66 	103 	77 	76 	111 
ICCS0101,PER_VICT,M,NR,IS	1 	0 	3 	0 	1 	0 	2 	2 	1 	: 
ICCS0101,PER_VICT,M,NR,IT	241 	253 	328 	334 	326 	339 	374 	371 	417 	465 
ICCS0101,PER_VICT,M,NR,LI	: 	0 	0 	1 	0 	0 	0 	1 	0 	: 
ICCS0101,PER_VICT,M,NR,LT	74 	107 	123 	106 	138 	149 	145 	144 	188 	217 
ICCS0101,PER_VICT,M,NR,LU	: 	: 	4 	2 	0 	0 	4 	5 	5 	: 
ICCS0101,PER_VICT,M,NR,LV	40 	35 	37 	27 	26 	33 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,ME	11 	25 	14 	16 	9 	14 	18 	8 	15 	19 
ICCS0101,PER_VICT,M,NR,MK	27 	13 	23 	25 	15 	18 	26 	28 	23 	26 
ICCS0101,PER_VICT,M,NR,MT	8 	3 	2 	5 	7 	9 	0 	3 	1 	5 
ICCS0101,PER_VICT,M,NR,NL	89 	62 	62 	93 	69 	95 	93 	90 	104 	103 
ICCS0101,PER_VICT,M,NR,NO	15 	16 	10 	16 	26 	18 	59 	14 	17 	24 
ICCS0101,PER_VICT,M,NR,PL	193 	189 	186 	188 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,RS	65 	82 	73 	82 	95 	73 	96 	88 	116 	102 
ICCS0101,PER_VICT,M,NR,SE	86 	77 	83 	62 	61 	46 	56 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,SI	10 	8 	9 	10 	9 	8 	9 	7 	6 	5 
ICCS0101,PER_VICT,M,NR,SK	55 	37 	30 	46 	48 	45 	57 	51 	44 	: 
ICCS0101,PER_VICT,M,NR,TR	: 	: 	: 	: 	: 	2610 	2432 	2430 	2685 	: 
ICCS0101,PER_VICT,M,NR,UKC-L	499 	521 	393 	324 	339 	376 	355 	431 	402 	442 
ICCS0101,PER_VICT,M,NR,UKM	45 	49 	42 	47 	47 	51 	73 	79 	63 	64 
ICCS0101,PER_VICT,M,NR,UKN	15 	16 	19 	10 	15 	18 	19 	18 	24 	20 
ICCS0101,PER_VICT,M,NR,XK	35 	30 	32 	43 	37 	79 	53 	86 	62 	85 
ICCS0101,PER_VICT,M,P_HTHAB,AL	3.85 	5.62 	4.52 	7.12 	: 	: 	8.72 	: 	4.92 	4.66 
ICCS0101,PER_VICT,M,P_HTHAB,AT	: 	0.59 	0.69 	0.53 	0.78 	1.02 	1.03 	0.69 	2.49 	2.10 
ICCS0101,PER_VICT,M,P_HTHAB,BA	: 	: 	: 	: 	: 	2.08 	1.86 	2.45 	2.98 	: 
ICCS0101,PER_VICT,M,P_HTHAB,BG	1.97 	1.64 	2.77 	2.44 	2.12 	2.92 	2.73 	3.35 	3.16 	3.72 
ICCS0101,PER_VICT,M,P_HTHAB,CH	0.60 	0.49 	0.66 	0.42 	0.63 	0.71 	0.59 	0.68 	0.63 	: 
ICCS0101,PER_VICT,M,P_HTHAB,CY	1.68 	1.94 	3.16 	1.44 	2.14 	4.06 	0.73 	1.75 	3.08 	1.84 
ICCS0101,PER_VICT,M,P_HTHAB,CZ	0.69 	0.56 	0.75 	0.70 	0.76 	1.11 	0.82 	0.97 	1.09 	1.38 
ICCS0101,PER_VICT,M,P_HTHAB,DE	1.06 	1.22 	0.89 	0.95 	0.90 	0.93 	1.02 	1.00 	1.04 	0.96 
ICCS0101,PER_VICT,M,P_HTHAB,DK	1.78 	1.16 	1.35 	1.54 	1.26 	1.12 	1.12 	0.73 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,EE	3.40 	3.89 	5.69 	5.37 	5.52 	7.44 	8.23 	7.89 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,EL	1.13 	1.11 	1.20 	1.51 	1.92 	2.34 	2.79 	2.60 	2.33 	2.02 
ICCS0101,PER_VICT,M,P_HTHAB,ES	0.85 	0.79 	0.79 	0.86 	0.78 	1.03 	1.12 	1.04 	1.17 	: 
ICCS0101,PER_VICT,M,P_HTHAB,FI	1.40 	1.92 	2.45 	2.28 	2.44 	1.81 	2.77 	3.47 	3.29 	3.43 
ICCS0101,PER_VICT,M,P_HTHAB,FR	0.97 	2.04 	2.31 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,HR	1.40 	1.19 	1.08 	0.93 	1.22 	1.60 	1.35 	1.45 	1.20 	2.26 
ICCS0101,PER_VICT,M,P_HTHAB,HU	3.64 	2.56 	2.53 	1.68 	1.76 	1.40 	2.17 	1.62 	1.60 	2.33 
ICCS0101,PER_VICT,M,P_HTHAB,IS	0.58 	0.00 	1.82 	0.00 	0.62 	0.00 	1.25 	1.25 	0.62 	: 
ICCS0101,PER_VICT,M,P_HTHAB,IT	0.82 	0.86 	1.11 	1.13 	1.13 	1.18 	1.30 	1.29 	1.46 	1.64 
ICCS0101,PER_VICT,M,P_HTHAB,LI	: 	0.00 	0.00 	5.43 	0.00 	0.00 	0.00 	5.63 	0.00 	: 
ICCS0101,PER_VICT,M,P_HTHAB,LT	5.64 	8.05 	9.14 	7.82 	10.08 	10.77 	10.30 	9.93 	12.76 	14.59 
ICCS0101,PER_VICT,M,P_HTHAB,LU	: 	: 	1.42 	0.73 	0.00 	0.00 	1.57 	2.00 	2.04 	: 
ICCS0101,PER_VICT,M,P_HTHAB,LV	4.47 	3.87 	4.06 	2.94 	2.81 	3.53 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,ME	3.57 	8.12 	4.55 	5.21 	2.93 	4.57 	5.88 	2.62 	4.93 	6.27 
ICCS0101,PER_VICT,M,P_HTHAB,MK	2.60 	1.25 	2.22 	2.42 	1.45 	1.74 	2.52 	2.72 	2.24 	2.54 
ICCS0101,PER_VICT,M,P_HTHAB,MT	3.45 	1.33 	0.93 	2.35 	3.34 	4.33 	0.00 	1.45 	0.49 	2.47 
ICCS0101,PER_VICT,M,P_HTHAB,NL	1.05 	0.74 	0.74 	1.12 	0.83 	1.15 	1.13 	1.10 	1.28 	1.27 
ICCS0101,PER_VICT,M,P_HTHAB,NO	0.57 	0.61 	0.38 	0.62 	1.03 	0.72 	2.40 	0.58 	0.71 	1.02 
ICCS0101,PER_VICT,M,P_HTHAB,PL	1.05 	1.03 	1.01 	1.02 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,RS	1.90 	2.38 	2.11 	2.36 	2.72 	2.08 	2.72 	2.48 	3.25 	2.85 
ICCS0101,PER_VICT,M,P_HTHAB,SE	1.72 	1.56 	1.70 	1.29 	1.28 	0.97 	1.19 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,SI	0.98 	0.78 	0.88 	0.98 	0.88 	0.79 	0.89 	0.69 	0.60 	0.51 
ICCS0101,PER_VICT,M,P_HTHAB,SK	2.07 	1.40 	1.14 	1.74 	1.82 	1.71 	2.17 	1.94 	1.68 	: 
ICCS0101,PER_VICT,M,P_HTHAB,TR	: 	: 	: 	: 	: 	6.95 	6.57 	6.66 	7.48 	: 
ICCS0101,PER_VICT,M,P_HTHAB,UKC-L	1.92 	2.02 	1.54 	1.28 	1.21 	1.36 	1.29 	1.58 	1.49 	1.65 
ICCS0101,PER_VICT,M,P_HTHAB,UKM	1.71 	1.87 	1.61 	1.81 	1.82 	1.98 	2.85 	3.11 	2.50 	2.55 
ICCS0101,PER_VICT,M,P_HTHAB,UKN	1.63 	1.75 	2.10 	1.11 	1.67 	2.02 	2.14 	2.04 	2.74 	2.31 
ICCS0101,PER_VICT,M,P_HTHAB,XK	: 	2.83 	: 	: 	: 	: 	5.86 	7.71 	5.63 	7.82 
ICCS0101,PER_VICT,T,NR,AL	68 	99 	82 	117 	129 	157 	142 	127 	85 	93 
ICCS0101,PER_VICT,T,NR,AT	: 	57 	46 	45 	62 	80 	77 	61 	157 	124 
ICCS0101,PER_VICT,T,NR,BA	42 	45 	57 	50 	46 	63 	51 	56 	71 	30 
ICCS0101,PER_VICT,T,NR,BG	103 	79 	126 	112 	109 	141 	128 	148 	150 	172 
ICCS0101,PER_VICT,T,NR,CH	45 	45 	57 	41 	57 	45 	46 	52 	51 	: 
ICCS0101,PER_VICT,T,NR,CY	7 	13 	15 	11 	12 	22 	9 	8 	19 	9 
ICCS0101,PER_VICT,T,NR,CZ	66 	65 	88 	81 	90 	105 	86 	103 	94 	114 
ICCS0101,PER_VICT,T,NR,DE	813 	963 	682 	716 	682 	659 	738 	793 	803 	722 
ICCS0101,PER_VICT,T,NR,DK	71 	56 	62 	74 	48 	47 	46 	42 	: 	: 
ICCS0101,PER_VICT,T,NR,EE	29 	33 	45 	42 	52 	63 	65 	64 	69 	86 
ICCS0101,PER_VICT,T,NR,EL	82 	84 	93 	107 	153 	166 	184 	176 	152 	144 
ICCS0101,PER_VICT,T,NR,ES	307 	294 	302 	323 	302 	362 	387 	390 	399 	426 
ICCS0101,PER_VICT,T,NR,FI	69 	74 	82 	88 	89 	88 	110 	119 	120 	133 
ICCS0101,PER_VICT,T,NR,FR	942 	1031 	1157 	792 	777 	784 	856 	796 	819 	1021 
ICCS0101,PER_VICT,T,NR,HR	46 	44 	37 	36 	46 	51 	49 	62 	49 	71 
ICCS0101,PER_VICT,T,NR,HU	242 	202 	221 	146 	154 	124 	145 	138 	139 	181 
ICCS0101,PER_VICT,T,NR,IS	3 	1 	3 	2 	1 	1 	3 	2 	1 	0 
ICCS0101,PER_VICT,T,NR,IT	371 	404 	471 	487 	506 	530 	552 	529 	590 	615 
ICCS0101,PER_VICT,T,NR,LI	: 	0 	0 	1 	0 	0 	0 	1 	0 	1 
ICCS0101,PER_VICT,T,NR,LT	129 	153 	172 	159 	198 	202 	211 	219 	252 	298 
ICCS0101,PER_VICT,T,NR,LU	2 	5 	5 	4 	2 	0 	4 	10 	5 	8 
ICCS0101,PER_VICT,T,NR,LV	81 	69 	67 	64 	50 	70 	: 	: 	: 	: 
ICCS0101,PER_VICT,T,NR,ME	15 	28 	17 	20 	10 	17 	21 	15 	21 	24 
ICCS0101,PER_VICT,T,NR,MK	31 	19 	25 	35 	22 	29 	30 	43 	35 	35 
ICCS0101,PER_VICT,T,NR,MT	9 	5 	4 	6 	7 	12 	3 	4 	4 	6 
ICCS0101,PER_VICT,T,NR,NL	132 	94 	104 	123 	125 	145 	143 	144 	154 	150 
ICCS0101,PER_VICT,T,NR,NO	28 	27 	24 	29 	46 	27 	111 	29 	29 	34 
ICCS0101,PER_VICT,T,NR,PL	287 	260 	298 	287 	305 	326 	387 	384 	422 	409 
ICCS0101,PER_VICT,T,NR,RS	94 	123 	104 	120 	142 	111 	135 	130 	154 	140 
ICCS0101,PER_VICT,T,NR,SE	113 	106 	112 	87 	87 	68 	81 	: 	: 	: 
ICCS0101,PER_VICT,T,NR,SI	19 	10 	20 	16 	12 	14 	16 	15 	13 	10 
ICCS0101,PER_VICT,T,NR,SK	80 	60 	48 	72 	71 	62 	88 	82 	76 	: 
ICCS0101,PER_VICT,T,NR,TR	: 	: 	: 	: 	: 	3216 	3061 	3064 	3692 	: 
ICCS0101,PER_VICT,T,NR,UKC-L	726 	706 	570 	510 	521 	544 	526 	632 	595 	638 
ICCS0101,PER_VICT,T,NR,UKM	59 	65 	59 	62 	62 	63 	93 	100 	85 	97 
ICCS0101,PER_VICT,T,NR,UKN	24 	18 	23 	17 	20 	21 	23 	23 	29 	24 
ICCS0101,PER_VICT,T,NR,XK	48 	38 	42 	55 	41 	90 	62 	106 	73 	113 
ICCS0101,PER_VICT,T,P_HTHAB,AL	2.36 	3.44 	2.84 	4.04 	: 	: 	5.01 	: 	2.67 	2.93 
ICCS0101,PER_VICT,T,P_HTHAB,AT	: 	0.66 	0.54 	0.53 	0.73 	0.95 	0.92 	0.73 	1.88 	1.49 
ICCS0101,PER_VICT,T,P_HTHAB,BA	: 	: 	: 	: 	: 	1.64 	1.33 	1.46 	1.85 	0.78 
ICCS0101,PER_VICT,T,P_HTHAB,BG	1.45 	1.10 	1.75 	1.55 	1.50 	1.92 	1.74 	1.99 	2.01 	2.29 
ICCS0101,PER_VICT,T,P_HTHAB,CH	0.53 	0.54 	0.69 	0.50 	0.71 	0.57 	0.58 	0.67 	0.66 	: 
ICCS0101,PER_VICT,T,P_HTHAB,CY	0.82 	1.53 	1.77 	1.28 	1.39 	2.55 	1.07 	0.98 	2.38 	1.16 
ICCS0101,PER_VICT,T,P_HTHAB,CZ	0.62 	0.62 	0.84 	0.77 	0.86 	1.00 	0.82 	0.98 	0.90 	1.10 
ICCS0101,PER_VICT,T,P_HTHAB,DE	0.99 	1.17 	0.84 	0.89 	0.85 	0.82 	0.92 	0.97 	0.98 	0.88 
ICCS0101,PER_VICT,T,P_HTHAB,DK	1.24 	0.98 	1.10 	1.32 	0.86 	0.84 	0.83 	0.76 	: 	: 
ICCS0101,PER_VICT,T,P_HTHAB,EE	2.20 	2.51 	3.42 	3.19 	3.94 	4.75 	4.89 	4.80 	5.17 	6.43 
ICCS0101,PER_VICT,T,P_HTHAB,EL	0.76 	0.78 	0.86 	0.98 	1.39 	1.50 	1.65 	1.58 	1.37 	1.29 
ICCS0101,PER_VICT,T,P_HTHAB,ES	0.66 	0.63 	0.65 	0.69 	0.65 	0.77 	0.83 	0.84 	0.86 	0.93 
ICCS0101,PER_VICT,T,P_HTHAB,FI	1.25 	1.35 	1.50 	1.61 	1.64 	1.63 	2.05 	2.22 	2.25 	2.51 
ICCS0101,PER_VICT,T,P_HTHAB,FR	1.41 	1.55 	1.74 	1.20 	1.18 	1.20 	1.32 	1.23 	1.27 	1.60 
ICCS0101,PER_VICT,T,P_HTHAB,HR	1.11 	1.05 	0.88 	0.85 	1.08 	1.19 	1.14 	1.44 	1.14 	1.65 
ICCS0101,PER_VICT,T,P_HTHAB,HU	2.47 	2.05 	2.24 	1.48 	1.55 	1.25 	1.45 	1.38 	1.39 	1.80 
ICCS0101,PER_VICT,T,P_HTHAB,IS	0.89 	0.30 	0.91 	0.61 	0.31 	0.31 	0.94 	0.63 	0.31 	0.00 
ICCS0101,PER_VICT,T,P_HTHAB,IT	0.61 	0.67 	0.77 	0.80 	0.85 	0.89 	0.93 	0.89 	1.00 	1.05 
ICCS0101,PER_VICT,T,P_HTHAB,LI	: 	0.00 	0.00 	2.69 	0.00 	0.00 	0.00 	2.79 	0.00 	2.83 
ICCS0101,PER_VICT,T,P_HTHAB,LT	4.53 	5.30 	5.89 	5.40 	6.66 	6.73 	6.91 	6.97 	7.91 	9.28 
ICCS0101,PER_VICT,T,P_HTHAB,LU	0.34 	0.87 	0.89 	0.73 	0.37 	0.00 	0.78 	1.99 	1.01 	1.65 
ICCS0101,PER_VICT,T,P_HTHAB,LV	4.15 	3.50 	3.37 	3.20 	2.47 	3.42 	: 	: 	: 	: 
ICCS0101,PER_VICT,T,P_HTHAB,ME	2.41 	4.50 	2.73 	3.22 	1.61 	2.74 	3.39 	2.42 	3.40 	3.90 
ICCS0101,PER_VICT,T,P_HTHAB,MK	1.49 	0.92 	1.21 	1.69 	1.07 	1.41 	1.46 	2.09 	1.71 	1.71 
ICCS0101,PER_VICT,T,P_HTHAB,MT	1.96 	1.11 	0.93 	1.41 	1.66 	2.87 	0.72 	0.97 	0.97 	1.47 
ICCS0101,PER_VICT,T,P_HTHAB,NL	0.77 	0.55 	0.62 	0.73 	0.74 	0.87 	0.86 	0.87 	0.93 	0.91 
ICCS0101,PER_VICT,T,P_HTHAB,NO	0.53 	0.52 	0.46 	0.57 	0.91 	0.54 	2.26 	0.60 	0.60 	0.72 
ICCS0101,PER_VICT,T,P_HTHAB,PL	0.76 	0.68 	0.78 	0.75 	0.80 	0.86 	1.02 	1.01 	1.11 	1.07 
